repo,base_commit,num_java_files,num_loc,num_pom_xml,num_src_test_java_files,num_test_cases,license
Silverpop/engage-api-client,413f83469df170a9be03bdeeae5caab9aa7f6bce,242,18261,1,9,31,Apache-2.0
SimpleProgramming/spring-boot-ehCache-CacheManager,447e53f8abe9aeff330b544a48b0e740ede750ac,12,489,1,1,1,MIT
SimpleProgramming/springboot-security-simple-jwt,de69c334bab277be94605c4807958822b2865494,8,194,1,1,1,MIT
singnet/snet-sdk-java,7f184a497e8f4dd7175fafa273b5f1513ac115fe,122,10613,11,0,2,MIT
skyCloud-CN/jdbcTemplatePlus,fbaed97d2d4a3618d209805346909d460d1f620d,136,8566,4,0,158,Apache-2.0
snowtraces/poetry-web,0b224e88f8f1eaec6fe09502af61ec71960b35c7,48,2692,1,1,1,Apache-2.0
soabase/soabase-halva,b91e92b90947b511564ed81ebfb6eac75018b7bc,199,15520,5,0,70,Apache-2.0
software-space/qiyana-aggregator,02c6e224a997da91b37ed8a8a720a29b12119991,8,415,1,1,1,Apache-2.0
spotify/apollo,a03105ee1f98f8c5878f4e3c4d03c8732c6384bd,255,25870,12,0,32,Apache-2.0
spotify/async-google-pubsub-client,8e0cef57fabf995ee0025c72e9574f11b2a97948,53,8686,1,27,81,Apache-2.0
spotify/ffwd,3607614b43fae1a5f0f1d74631f9edbac290af23,224,75013,16,0,8,Apache-2.0
spring-attic/tasklauncher-dataflow,7817457f63dfc22a8dc002581e4c56aa8eacab22,12,1185,6,0,7,Apache-2.0
spring-cloud-services-samples/traveler,399748d9c44bd14d502b61bc0409849a3a4ceec0,11,549,3,0,4,Apache-2.0
spring-projects/spring-data-keyvalue,c1dd050e01c78143d248c27c36d311ee9f324d7b,91,10518,1,32,283,Apache-2.0
springdoc/springdoc-openapi,3483389593a9cc81641fdb87ba2c451cafd77442,1750,117079,12,0,167,Apache-2.0
spullara/tikvclient,c0f9018f23c10820595fde34bb1b97078f077f81,20,121056,1,1,1,Apache-2.0
StephenOTT/STIX-Java,225b3500ea90f64570f3db4aacba0a94fd2d1430,145,7285,1,0,15,MIT
streamdal/kafka-sink-connector,28a45030fe3b80e2d98e1efd276002488bbb10ab,36,16647,1,4,12,Apache-2.0
streamreasoning/rsp4j,162d4115d2dbeddcbfbb86cbb8f3402f08dd85c9,142,24084,5,0,16,Apache-2.0
TaoZhuGongBoy/enumstatemachine,c113642308637e8836b2abaf3514b3aa285800b7,13,417,1,3,5,Apache-2.0
tedyoung/kid-bank,bb6376dffdf021dd6ab22e6224d3be997c1094b9,138,5992,1,54,121,Apache-2.0
ThalesGroup/chaos-engine,91ce87ba9f2c12c734e7fb23c798c61690da928a,182,18591,1,64,594,Apache-2.0
thorntail/thorntail-fraction-plugin,d0f5493744c49cec33d99e723bb8c6f2e48f2292,48,6616,1,2,5,Apache-2.0
tinify/tinify-java,d9cc3350224b02a6528e8885809da253e843ba0e,20,2342,1,8,91,MIT
tlbdk/copybook4java,971e453155ca9e3b96cc49e04fc3a58033d2b3b2,79,7604,4,0,1,MIT
Tosan/tosan-camunda-client-spring-boot-starter,006fd376f501f7b78a2864790ac4e7d3ebe07488,296,59498,4,0,5,Apache-2.0
tum-gis/InterSensorService,7aaa04fab87286af49f8fddde5c03fdf46c8a5be,186,12633,1,1,-2,Apache-2.0
tyro/pact-spring-mvc,15a2301bddc6acfb898eea3e720986e774b0a0cd,55,3879,1,24,4,Apache-2.0
unic/neba,980331d616ba38a24bdb51e7cb6050b1d5903fed,224,32424,6,0,147,Apache-2.0
uzxmx/javasist-demo,a83c84e81d437383fbf1592b429ece32344727c2,10,427,1,4,4,MIT
v5java/demo-cas-server-web,0149ae6430b09853c16131c121d1f56db7cdfe9a,8,750,1,2,0,Apache-2.0
visallo/webster,aa661d2b10ca1ba0e934a94d74f45e5c7a5d6ff3,76,5258,3,0,64,Apache-2.0
visionarts/power-jambda,e304c4c28d7f33af88497b4c8f6c20828b51e177,140,10384,5,0,19,Apache-2.0
w11k/lsql,2ac89bdb1824e9e6c8ef9ddd2d650d70db3654b2,149,12233,6,0,38,Apache-2.0
wangqifox/spring-demo,ee872c782d93748e00013193e98910f155375ead,35,955,5,0,1,Apache-2.0
wanwenjie1993/Emoticon,581c474aaf51de17ca112491ef7db6e0b34b8737,17,794,2,1,1,Apache-2.0
whilein/jexpr,cdfcf0f197474c6e46da6188889bafd8bdecc11e,179,14183,5,0,42,Apache-2.0
whiteclarkegroup/liquibase-linter,cdfe57be8c3d20913e943367ca912743f2b78fed,113,5893,2,71,231,Apache-2.0
WinterChenS/delay-server,fe83aead4942fde677ebaac900a72e96d03467cf,28,1844,1,1,1,Apache-2.0
wirecardBrasil/mockkid,5ecadf86c9fa04313cc08680ba4cd16bf4c35546,49,2205,1,13,-2,MIT
wso2/balana,b9526ea3ae87c31de556c9accc3238ae1f5b9667,307,54773,11,0,26,Apache-2.0
wso2/carbon-crypto-service,f82ca0398bb54a98e39260a759d9d87eeceb97cb,23,4029,5,0,2,Apache-2.0
wurmf/OpenBooth,d238e5614780de53deab1df8a28c652e84426aa6,87,5534,1,5,12,MIT
xebia-os/xebia-archunit-extension,de7cdd4d36f2fd30b5a7167d3711f18d8a9f6064,11,760,3,0,19,Apache-2.0
xebia-research/vulnmanager,d79446c9221a7d19e233346d40bf165eb9908870,88,7539,1,5,17,MIT
xnnyygn/xgossip,8ee382a5cd5fbdb5341781f34c900e386f5b03df,62,19704,1,14,42,Apache-2.0
xVir/api-ai-java-webhook,ee93847a8d3fb39743a23bb094929ccda4f2c064,4,118,1,1,-2,Apache-2.0
yahoojapan/solr-plugin-samples,3d50444736301b339e630a92b151b704d3cc7ec1,25,2216,1,4,26,MIT
yandex-qatools/uri-differ,70266516e1d8092d369e9453a17396a23c75551f,25,1393,1,8,83,MIT
yangjm/winlet,f12efec5180243580bbeda55443d50cc43b0f4ed,292,25303,4,0,1,MIT
ykrjava8/xlsx-streamer,1b81b930c2c384ab4d43044787f99f76fc7629f9,25,5090,1,6,43,Apache-2.0
ysdhb/sqlMask,ea07617589bf68bd006851744b6e5613f6d4c5cc,37,7849,6,0,44,Apache-2.0
yurimarx/isc-iris-odata,f387aa53fd81df9577b5da882146b5abec6b1a01,18,1318,1,1,1,MIT
yyenigun/light-calendar,02331f6f4db184285ce17185a33f1b286992bc1e,29,1009,2,0,5,Apache-2.0
zabetak/calcite-tutorial,31cce59c747e0b763a934109db6a6e7055f175ae,30,2682,4,0,16,Apache-2.0
zainabed/zainabed-spring-security-jwt,f28349a61a02e9a5aae7862edfec3066d089227c,32,1626,1,11,13,MIT
zalando/opentracing-toolbox,e289fafebd4c503f43b88598a745e8a571e3ed5d,246,11313,30,0,1,MIT
zeroual-omar/config-server,d7801ef6ab7fbb7ff838da860b200646bf8c47ee,4,93,1,1,2,Apache-2.0
ZHENFENG13/My-Column,95bef3baf140d53d4fd38a20d606f07c9ea34621,34,2149,1,1,1,MIT
ZimoLoveShuang/wisedu-unified-login-api,2bf5bca2b90bb965c04f4a42f06bb3eb1688df30,34,4400,1,1,1,MIT
Zjianru/tensquare,1095e8953c488e4c5f8a8e5789d7bb08628dd35b,100,7525,16,0,1,Apache-2.0
zvorygin/graphql-over-sql,d3eb29a62d6e8983c71d4287c46ab9fc234e0067,117,5800,8,0,1,MIT
zzzzbw/Spring-Boot-I18n-Pro,178ebfb1eee4af585c1e33777ec936d2db4fecc3,14,710,1,1,1,MIT
